year,debates_per_year,keywords
1875,5,tenure
1876,8,tenure
1877,1,tenure
1878,6,tenure
1879,3,tenure
1880,14,tenure
1881,78,tenure
1882,151,tenure
1883,30,tenure
1884,14,tenure
1885,12,tenure
1886,36,tenure
1887,53,tenure
1888,51,tenure
1889,48,tenure
1890,30,tenure
1891,5,tenure
1892,20,tenure
1893,15,tenure
1894,25,tenure
1895,30,tenure
1896,83,tenure
1897,51,tenure
1898,39,tenure
1899,33,tenure
1900,49,tenure
1901,55,tenure
1902,88,tenure
1903,23,tenure
1904,143,tenure
1905,187,tenure
1906,267,tenure
1907,168,tenure
1908,232,tenure
1909,318,tenure
1910,227,tenure
